"epoch","value","metric","data"
1,2.97184436051322,"loss","training"
2,2.74203515358924,"loss","training"
3,2.36231040333284,"loss","training"
4,2.04132965289664,"loss","training"
5,1.75781733683587,"loss","training"
6,1.50714990533205,"loss","training"
7,1.29356624249941,"loss","training"
8,1.13635012432414,"loss","training"
9,1.01548593901687,"loss","training"
10,0.899730698439628,"loss","training"
11,0.807967965471677,"loss","training"
12,0.726816425296719,"loss","training"
13,0.658567446383549,"loss","training"
14,0.595428996789991,"loss","training"
15,0.550693867984714,"loss","training"
16,0.499810570655632,"loss","training"
17,0.46867180915666,"loss","training"
18,0.431218089155292,"loss","training"
19,0.390885179597769,"loss","training"
20,0.352333106065746,"loss","training"
21,0.32779016429906,"loss","training"
22,0.316332060216573,"loss","training"
23,0.281972721873179,"loss","training"
24,0.280739017003401,"loss","training"
25,0.262225939825667,"loss","training"
26,0.243783631191308,"loss","training"
27,0.232883398518541,"loss","training"
28,0.223669881623898,"loss","training"
29,0.209675070870018,"loss","training"
30,0.191821637907072,"loss","training"
31,0.193196937101578,"loss","training"
32,0.177100219129385,"loss","training"
33,0.188400301385826,"loss","training"
34,0.173674682438713,"loss","training"
35,0.167949985512482,"loss","training"
36,0.158313806930405,"loss","training"
37,0.150650896910981,"loss","training"
38,0.143114473016616,"loss","training"
39,0.137837884657422,"loss","training"
40,0.128068640729875,"loss","training"
41,0.133514635708947,"loss","training"
42,0.11841266321018,"loss","training"
43,0.114350322380932,"loss","training"
44,0.116551244524905,"loss","training"
45,0.114387678274394,"loss","training"
46,0.112440042568996,"loss","training"
47,0.11184224538943,"loss","training"
48,0.109033906662891,"loss","training"
49,0.10555019641989,"loss","training"
50,0.104805381383581,"loss","training"
51,0.0977523665879909,"loss","training"
52,0.0964650868715527,"loss","training"
53,0.0913161778322567,"loss","training"
54,0.0913958668664547,"loss","training"
55,0.0880900704726725,"loss","training"
56,0.087213335323968,"loss","training"
57,0.0869226067812984,"loss","training"
58,0.0812497962350076,"loss","training"
59,0.0892026768124639,"loss","training"
60,0.0795698445865022,"loss","training"
61,0.0785825745446477,"loss","training"
62,0.0798306665817057,"loss","training"
63,0.0762484917403602,"loss","training"
64,0.0746039550995409,"loss","training"
65,0.0737800064476778,"loss","training"
66,0.0741151117574522,"loss","training"
67,0.075381171529995,"loss","training"
68,0.0722193125563077,"loss","training"
69,0.0773845214660647,"loss","training"
70,0.0676508083069773,"loss","training"
71,0.0718278532495902,"loss","training"
72,0.0680210144851108,"loss","training"
73,0.0743204111298506,"loss","training"
74,0.0654566950138729,"loss","training"
75,0.0705647587377714,"loss","training"
76,0.0648198948554941,"loss","training"
77,0.0674395861002985,"loss","training"
78,0.0620606775622282,"loss","training"
79,0.0626198185330589,"loss","training"
80,0.0598479059392311,"loss","training"
81,0.0664074182282567,"loss","training"
82,0.0654536121380027,"loss","training"
83,0.0697480290378997,"loss","training"
84,0.0668204557515728,"loss","training"
85,0.0594990932382406,"loss","training"
86,0.062531770826029,"loss","training"
87,0.0631846659407884,"loss","training"
88,0.0597637184161885,"loss","training"
89,0.0728713638282992,"loss","training"
90,0.0579152952436027,"loss","training"
91,0.0610580262490741,"loss","training"
92,0.0611969176187848,"loss","training"
93,0.0600906024338818,"loss","training"
94,0.0645187582657977,"loss","training"
95,0.0578668106433501,"loss","training"
96,0.0555652388781628,"loss","training"
97,0.0594125211289169,"loss","training"
98,0.0603381842533286,"loss","training"
99,0.0593740501982064,"loss","training"
100,0.0605647586173587,"loss","training"
1,0.0746363061353574,"acc","training"
2,0.129032258064516,"acc","training"
3,0.223402909550917,"acc","training"
4,0.325110689437065,"acc","training"
5,0.413915243516762,"acc","training"
6,0.503099304237824,"acc","training"
7,0.57685009487666,"acc","training"
8,0.630234029095509,"acc","training"
9,0.671853257432005,"acc","training"
10,0.714864010120177,"acc","training"
11,0.7426944971537,"acc","training"
12,0.770018975332068,"acc","training"
13,0.790385831752056,"acc","training"
14,0.814927261227071,"acc","training"
15,0.828336495888678,"acc","training"
16,0.848323845667299,"acc","training"
17,0.854016445287793,"acc","training"
18,0.868437697659709,"acc","training"
19,0.881593927893738,"acc","training"
20,0.892599620493359,"acc","training"
21,0.901834282099937,"acc","training"
22,0.901960784313726,"acc","training"
23,0.915243516761543,"acc","training"
24,0.917520556609741,"acc","training"
25,0.923719165085389,"acc","training"
26,0.931562302340291,"acc","training"
27,0.932321315623023,"acc","training"
28,0.934218848829855,"acc","training"
29,0.941176470588235,"acc","training"
30,0.941555977229601,"acc","training"
31,0.946616065781151,"acc","training"
32,0.949146110056926,"acc","training"
33,0.948640101201771,"acc","training"
34,0.952308665401644,"acc","training"
35,0.954712207463631,"acc","training"
36,0.955344718532574,"acc","training"
37,0.958507273877293,"acc","training"
38,0.960025300442758,"acc","training"
39,0.961543327008223,"acc","training"
40,0.964073371283998,"acc","training"
41,0.963946869070209,"acc","training"
42,0.96584440227704,"acc","training"
43,0.970018975332068,"acc","training"
44,0.969133459835547,"acc","training"
45,0.968753953194181,"acc","training"
46,0.970651486401012,"acc","training"
47,0.96989247311828,"acc","training"
48,0.972802024035421,"acc","training"
49,0.973561037318153,"acc","training"
50,0.972928526249209,"acc","training"
51,0.975332068311195,"acc","training"
52,0.976217583807717,"acc","training"
53,0.975711574952562,"acc","training"
54,0.976470588235294,"acc","training"
55,0.978621125869703,"acc","training"
56,0.97583807716635,"acc","training"
57,0.97786211258697,"acc","training"
58,0.978494623655914,"acc","training"
59,0.977482605945604,"acc","training"
60,0.980771663504111,"acc","training"
61,0.979633143580013,"acc","training"
62,0.978621125869703,"acc","training"
63,0.981151170145478,"acc","training"
64,0.981277672359266,"acc","training"
65,0.980265654648956,"acc","training"
66,0.980771663504111,"acc","training"
67,0.980139152435168,"acc","training"
68,0.982289690069576,"acc","training"
69,0.97988614800759,"acc","training"
70,0.98292220113852,"acc","training"
