"epoch","value","metric","data"
71,0.982542694497154,"acc","training"
72,0.982289690069576,"acc","training"
73,0.981024667931689,"acc","training"
74,0.983807716635041,"acc","training"
75,0.982163187855787,"acc","training"
76,0.984187223276407,"acc","training"
77,0.984313725490196,"acc","training"
78,0.98494623655914,"acc","training"
79,0.984060721062619,"acc","training"
80,0.984819734345351,"acc","training"
81,0.985199240986717,"acc","training"
82,0.984819734345351,"acc","training"
83,0.983681214421252,"acc","training"
84,0.983554712207464,"acc","training"
85,0.984566729917774,"acc","training"
86,0.985199240986717,"acc","training"
87,0.98494623655914,"acc","training"
88,0.985578747628084,"acc","training"
89,0.983554712207464,"acc","training"
90,0.98595825426945,"acc","training"
91,0.985325743200506,"acc","training"
92,0.985325743200506,"acc","training"
93,0.985705249841872,"acc","training"
94,0.985199240986717,"acc","training"
95,0.986337760910816,"acc","training"
96,0.987223276407337,"acc","training"
97,0.985831752055661,"acc","training"
98,0.985452245414295,"acc","training"
99,0.986717267552182,"acc","training"
100,0.98494623655914,"acc","training"
1,2.9500852402436,"loss","validation"
2,2.71298396882932,"loss","validation"
3,2.45594245540209,"loss","validation"
4,2.26236241091804,"loss","validation"
5,2.04285512651716,"loss","validation"
6,1.88896763592149,"loss","validation"
7,1.67566748281859,"loss","validation"
8,1.52234694217425,"loss","validation"
9,1.47656701376756,"loss","validation"
10,1.43629933219874,"loss","validation"
11,1.42391275205466,"loss","validation"
12,1.36853558746955,"loss","validation"
13,1.34193464687892,"loss","validation"
14,1.26651976100106,"loss","validation"
15,1.20643589614837,"loss","validation"
16,1.16603775443828,"loss","validation"
17,1.10354205033574,"loss","validation"
18,1.08841971467208,"loss","validation"
19,1.06010299857701,"loss","validation"
20,1.02259982209279,"loss","validation"
21,1.02649640044749,"loss","validation"
22,0.973076922975155,"loss","validation"
23,0.963483929704466,"loss","validation"
24,0.948764418767504,"loss","validation"
25,0.928807711657554,"loss","validation"
26,0.936128266023773,"loss","validation"
27,0.918686413075313,"loss","validation"
28,0.902965201608124,"loss","validation"
29,0.891205497657816,"loss","validation"
30,0.88781292863199,"loss","validation"
31,0.883399869855207,"loss","validation"
32,0.888262000387928,"loss","validation"
33,0.890881135514382,"loss","validation"
34,0.883248113157335,"loss","validation"
35,0.884100214825611,"loss","validation"
36,0.894942954587261,"loss","validation"
37,0.891726912580949,"loss","validation"
38,0.879964327270334,"loss","validation"
39,0.86985501717367,"loss","validation"
40,0.885282129401159,"loss","validation"
41,0.895021646651918,"loss","validation"
42,0.886491039567742,"loss","validation"
43,0.904436643669709,"loss","validation"
44,0.899400887850325,"loss","validation"
45,0.887862451260177,"loss","validation"
46,0.888889317309491,"loss","validation"
47,0.916166542377213,"loss","validation"
48,0.914545363666316,"loss","validation"
49,0.906992153969396,"loss","validation"
50,0.915810951103216,"loss","validation"
51,0.919209274237947,"loss","validation"
52,0.914905558792168,"loss","validation"
53,0.927557493396183,"loss","validation"
54,0.924924240923688,"loss","validation"
55,0.914789574697983,"loss","validation"
56,0.942014614412607,"loss","validation"
57,0.923777900205171,"loss","validation"
58,0.930748540120817,"loss","validation"
59,0.941137714010203,"loss","validation"
60,0.956849575025132,"loss","validation"
61,0.945474924557043,"loss","validation"
62,0.96668878602306,"loss","validation"
63,0.977072493420582,"loss","validation"
64,0.992138202630925,"loss","validation"
65,0.990126365155791,"loss","validation"
66,0.985342463168372,"loss","validation"
67,0.984607512353443,"loss","validation"
68,0.994552229853279,"loss","validation"
69,0.983346262166041,"loss","validation"
70,0.991160250364538,"loss","validation"
71,0.994228319015349,"loss","validation"
72,0.976768053918549,"loss","validation"
73,0.998395164792977,"loss","validation"
74,1.02430288563125,"loss","validation"
75,1.02485156569458,"loss","validation"
76,1.01783931613795,"loss","validation"
77,1.02125602909567,"loss","validation"
78,1.03343081481341,"loss","validation"
79,1.02737130712027,"loss","validation"
80,1.04278106856409,"loss","validation"
81,1.04766228656068,"loss","validation"
82,1.039669908979,"loss","validation"
83,1.04235538618184,"loss","validation"
84,1.05185852783876,"loss","validation"
85,1.0436233924185,"loss","validation"
86,1.04693621300258,"loss","validation"
87,1.05724380993963,"loss","validation"
88,1.06516399660941,"loss","validation"
89,1.06025111406092,"loss","validation"
90,1.06404878676747,"loss","validation"
91,1.06610395336236,"loss","validation"
92,1.06358381127884,"loss","validation"
93,1.07404300579724,"loss","validation"
94,1.07268639252804,"loss","validation"
95,1.0845020721142,"loss","validation"
96,1.09585420410847,"loss","validation"
97,1.11283839064724,"loss","validation"
98,1.10609363642254,"loss","validation"
99,1.10391243409757,"loss","validation"
100,1.10786261366419,"loss","validation"
1,0.0699527744982291,"acc","validation"
2,0.128394332939787,"acc","validation"
3,0.267414403883597,"acc","validation"
4,0.286304604486423,"acc","validation"
5,0.380165289256198,"acc","validation"
6,0.458677685950413,"acc","validation"
7,0.542798111015115,"acc","validation"
8,0.597107437981343,"acc","validation"
9,0.600944510070605,"acc","validation"
10,0.60596221970414,"acc","validation"
11,0.605667060177329,"acc","validation"
12,0.617473435584882,"acc","validation"
13,0.627508854746396,"acc","validation"
14,0.663223140531053,"acc","validation"
15,0.685360094486189,"acc","validation"
16,0.69805194812232,"acc","validation"
17,0.714580873706969,"acc","validation"
18,0.729634002290904,"acc","validation"
19,0.732880755643214,"acc","validation"
20,0.742916174769542,"acc","validation"
21,0.739964580944043,"acc","validation"
22,0.761511216091856,"acc","validation"
23,0.766233766268952,"acc","validation"
24,0.768595041251943,"acc","validation"
25,0.771546635218185,"acc","validation"
26,0.774498229078869,"acc","validation"
27,0.782467532361975,"acc","validation"
28,0.786599763942863,"acc","validation"
29,0.786304604416051,"acc","validation"
30,0.782467532537904,"acc","validation"
31,0.784828807485709,"acc","validation"
32,0.789846517189616,"acc","validation"
33,0.789551357662804,"acc","validation"
34,0.787780401451951,"acc","validation"
35,0.793093270330812,"acc","validation"
36,0.794569067331526,"acc","validation"
37,0.792207792172607,"acc","validation"
38,0.793388429822438,"acc","validation"
39,0.798701298736484,"acc","validation"
40,0.796635182893262,"acc","validation"
41,0.796340023647937,"acc","validation"
42,0.803423848948766,"acc","validation"
43,0.803128689386769,"acc","validation"
44,0.804899645879108,"acc","validation"
45,0.807260920791727,"acc","validation"
46,0.804899645879108,"acc","validation"
47,0.800767414438964,"acc","validation"
48,0.804309326966228,"acc","validation"
49,0.806080283247453,"acc","validation"
50,0.806080283317825,"acc","validation"
51,0.805489964616059,"acc","validation"
52,0.807556080212982,"acc","validation"
53,0.810212514828341,"acc","validation"
54,0.809622196021018,"acc","validation"
55,0.808441558371187,"acc","validation"
56,0.805785124002128,"acc","validation"
57,0.80844155851193,"acc","validation"
58,0.811393152337429,"acc","validation"
59,0.809917355301529,"acc","validation"
60,0.810802833459735,"acc","validation"
61,0.808441558476744,"acc","validation"
62,0.804309326966228,"acc","validation"
63,0.80401416758016,"acc","validation"
64,0.806670602054776,"acc","validation"
65,0.805194805229991,"acc","validation"
66,0.803719008334834,"acc","validation"
67,0.807260920826913,"acc","validation"
68,0.807260921002842,"acc","validation"
69,0.807851239563864,"acc","validation"
70,0.810212514687598,"acc","validation"
71,0.810802833600478,"acc","validation"
72,0.812278630495634,"acc","validation"
73,0.809622196021018,"acc","validation"
74,0.80726092093247,"acc","validation"
75,0.80726092093247,"acc","validation"
76,0.811393152337429,"acc","validation"
77,0.808736717827627,"acc","validation"
78,0.810802833459735,"acc","validation"
79,0.812573789846517,"acc","validation"
80,0.810802833424549,"acc","validation"
81,0.809917355407087,"acc","validation"
82,0.809031877248881,"acc","validation"
83,0.813164108548283,"acc","validation"
84,0.814344746198114,"acc","validation"
85,0.809327036564578,"acc","validation"
86,0.813459268039908,"acc","validation"
87,0.809327036529392,"acc","validation"
88,0.809327036529392,"acc","validation"
89,0.813459267934351,"acc","validation"
90,0.810212514828341,"acc","validation"
91,0.810507674144038,"acc","validation"
92,0.809622196021018,"acc","validation"
93,0.812573789881703,"acc","validation"
94,0.815820543128456,"acc","validation"
95,0.811983471109566,"acc","validation"
96,0.811983471004009,"acc","validation"
97,0.808736717757255,"acc","validation"
98,0.807556080318539,"acc","validation"
99,0.81109799295136,"acc","validation"
100,0.810212514687598,"acc","validation"
